timestamp,epoch,step,global_step,loss,lr
2025-12-06T18:14:05.289056,1,100,99,35624.484234,0.00005525
2025-12-06T18:14:25.942406,1,200,199,1.056524,0.00011105
2025-12-06T18:14:46.174999,1,300,299,0.988267,0.00016685
2025-12-06T18:15:06.033231,1,400,399,0.962130,0.00022266
2025-12-06T18:15:25.889967,1,500,499,0.927470,0.00027846
2025-12-06T18:15:45.741382,1,600,599,0.919009,0.00033426
2025-12-06T18:16:05.594449,1,700,699,0.894063,0.00039007
2025-12-06T18:16:25.436107,1,800,799,0.887712,0.00044587
2025-12-06T18:16:45.279316,1,900,899,50.500641,0.00050167
2025-12-06T18:17:05.134463,1,1000,999,990362.797976,0.00055748
2025-12-06T18:17:39.197032,1,1100,1099,13.323600,0.00055803
2025-12-06T18:17:58.916003,1,1200,1199,0.891323,0.00055803
2025-12-06T18:18:39.164383,2,100,1349,0.868113,0.00055802
2025-12-06T18:18:58.102392,2,200,1449,0.860691,0.00055802
2025-12-06T18:19:17.365809,2,300,1549,0.857906,0.00055801
2025-12-06T18:19:36.593343,2,400,1649,0.868620,0.00055800
2025-12-06T18:19:55.866719,2,500,1749,0.855820,0.00055799
2025-12-06T18:20:15.132193,2,600,1849,0.852294,0.00055797
2025-12-06T18:20:34.362926,2,700,1949,0.854911,0.00055796
2025-12-06T18:20:53.640816,2,800,2049,0.854329,0.00055794
2025-12-06T18:21:12.946449,2,900,2149,0.850834,0.00055792
2025-12-06T18:21:32.220654,2,1000,2249,0.845486,0.00055790
2025-12-06T18:22:02.942814,2,1100,2349,0.854168,0.00055787
2025-12-06T18:22:22.385174,2,1200,2449,0.844209,0.00055785
2025-12-06T18:23:02.458588,3,100,2599,0.851486,0.00055781
2025-12-06T18:23:21.465394,3,200,2699,0.842074,0.00055778
2025-12-06T18:23:40.785102,3,300,2799,0.840437,0.00055775
2025-12-06T18:24:00.127639,3,400,2899,0.838568,0.00055771
2025-12-06T18:24:19.427247,3,500,2999,0.838017,0.00055768
2025-12-06T18:24:38.673295,3,600,3099,0.836203,0.00055764
2025-12-06T18:24:57.961632,3,700,3199,0.836181,0.00055760
2025-12-06T18:25:17.180623,3,800,3299,0.836440,0.00055756
2025-12-06T18:25:36.423761,3,900,3399,0.834933,0.00055752
2025-12-06T18:25:55.719997,3,1000,3499,0.835034,0.00055748
2025-12-06T18:26:25.906385,3,1100,3599,0.833430,0.00055743
2025-12-06T18:26:45.223777,3,1200,3699,0.832293,0.00055738
2025-12-06T18:27:27.325124,4,100,3849,0.830872,0.00055731
2025-12-06T18:27:46.325772,4,200,3949,0.831555,0.00055726
2025-12-06T18:28:05.623933,4,300,4049,0.857864,0.00055720
2025-12-06T18:28:24.918857,4,400,4149,0.838981,0.00055715
2025-12-06T18:28:44.172474,4,500,4249,0.831009,0.00055709
2025-12-06T18:29:03.473192,4,600,4349,0.829188,0.00055703
2025-12-06T18:29:22.736140,4,700,4449,0.828528,0.00055697
2025-12-06T18:29:41.978386,4,800,4549,0.827942,0.00055691
2025-12-06T18:30:01.246629,4,900,4649,0.827630,0.00055684
2025-12-06T18:30:20.490632,4,1000,4749,0.827225,0.00055678
2025-12-06T18:30:52.280228,4,1100,4849,0.825968,0.00055671
2025-12-06T18:31:11.686552,4,1200,4949,0.826956,0.00055664
2025-12-06T18:31:51.961534,5,100,5099,0.825165,0.00055653
2025-12-06T18:32:10.882220,5,200,5199,0.825618,0.00055646
2025-12-06T18:32:30.490608,5,300,5299,0.824316,0.00055638
2025-12-06T18:32:50.151707,5,400,5399,0.824737,0.00055630
2025-12-06T18:33:09.789321,5,500,5499,0.823902,0.00055623
2025-12-06T18:33:29.405803,5,600,5599,0.823618,0.00055614
2025-12-06T18:33:49.012760,5,700,5699,0.823918,0.00055606
2025-12-06T18:34:08.658189,5,800,5799,0.823891,0.00055598
2025-12-06T18:34:28.322311,5,900,5899,0.822791,0.00055589
2025-12-06T18:34:47.931664,5,1000,5999,0.822191,0.00055580
2025-12-06T19:02:14.039254,1,100,99,36787.140985,0.00005525
2025-12-06T19:02:35.179416,1,200,199,1.073273,0.00011105
2025-12-06T19:02:56.211616,1,300,299,0.994348,0.00016685
2025-12-06T19:03:17.360919,1,400,399,0.951141,0.00022266
2025-12-06T19:03:38.512539,1,500,499,3.105216,0.00027846
2025-12-06T19:03:59.740609,1,600,599,850.177075,0.00033426
2025-12-06T19:04:20.907881,1,700,699,1.228011,0.00039007
2025-12-06T19:04:42.050934,1,800,799,0.921750,0.00044587
2025-12-06T19:05:03.192091,1,900,899,0.909511,0.00050167
2025-12-06T19:05:24.390079,1,1000,999,0.898741,0.00055748
